77512,,* del CrB
91926,,* eps02 Lyr
96465,,* h02 Sgr
42527,,* pi.02 UMa
20070,,* b Per
53502,,* iot Ant
77760,,* chi Her
72125,,* omi Boo
75501,,* k Lup
95081,,* pi. Dra
1366,,* tet And
101474,,*  47 Cyg
14817,Gorgonea Quarta,* ome Per
39095,,HD  65810
76219,,*  37 Lib
36145,,*  21 Lyn
8833,,* ksi Psc
54182,,* chi Leo
80628,,* ups Oph
56480,,* A Cen
54301,,* z Car
44824,,* kap Pyx
92946,,* tet01 Ser
62327,,HD 110956
23497,,* iot Tau
88175,,* zet Ser
90982,,* tet CrA
4422,,* ups02 Cas
18673,,* tau09 Eri
25923,,* ups Ori
13914,,* eps Ari
66738,,*  83 UMa
45448,,* k Vel
61789,,* l Cen
92512,,* omi Dra
78662,,* iot01 Nor
42835,,* F Hya
90797,,* nu. Pav
38500,,HD  64740
118131,,* psi Peg
73199,,V* RR UMi
22845,,* pi.01 Ori
76829,,* g Lup
82369,,*  20 Oph
67234,,* M Cen
76669,,*   7 CrB A
18216,,* tau08 Eri
95585,,* nu. Aql
113919,,*   3 And
28716,,* chi02 Ori
58590,,* pi. Vir
36514,,HD  59890
78639,,* eta Nor
51192,,V* V399 Car
23607,,*  11 Ori
21273,,* rho Tau
27890,,*  36 Dor
53295,,* ome UMa
89678,,HD 167818
31978,,*  15 Mon
90135,,* zet Sct
33302,,* pi. CMa
42806,Asellus Borealis,* gam Cnc
98543,,*  15 Vul
76705,,* psi01 Lup
5571,,* chi Psc
61740,,* chi Vir
35205,,HD  56618
28910,,* tet Lep
90595,,* gam Sct
88128,,*  93 Her
5742,,* phi Psc
19811,,* f Per
45075,,* tau UMa
96100,Alsafi,* sig Dra
40167,Tegmine,* zet Cnc
103738,,* gam Mic
47310,,*   2 Sex
112211,,* g Aqr
7294,,* chi Cas
96683,,* phi Cyg
49029,,* pi. Leo
66006,,* l Vir
43878,,* H Vel
13879,Gorgonea Secunda,* pi. Per
106786,Bunda,* ksi Aqr
66234,,*  24 CVn
8928,,* eta02 Hyi
52098,,*  37 LMi
9677,,* nu. For
37173,,* m Pup
52102,,* t02 Car
108870,,* eps Ind
107136,Azelfafage,* pi.01 Cyg
20732,,* pi. Tau
39211,,*  28 Mon
62268,,* iot Cru
116389,,* iot Phe
24813,,* lam Aur
24927,,HD  34968
56633,,* tet Crt
98066,,* ome Sgr
116247,,* b03 Aqr
113116,,HD 217382
56922,,* omi Hya
91726,,* del Sct
25984,,* chi Aur
68191,,HD 121474
63945,,* f Cen
22667,,* omi Ori
57283,,* zet Crt
23693,,* zet Dor
105140,,* eps Mic
46026,,* lam Pyx
114375,,*  89 Aqr
16245,,* kap Ret
45902,,* tet Pyx
13954,,* lam Cet
25044,,* o Ori
84514,,*  41 Oph
64844,,*  20 CVn
46371,,* G Hya
6692,,* psi Cas
60202,,*  11 Com
51056,,*  30 LMi
78592,,* ups Her
40084,,*  19 Pup
51658,,HD  91312
51438,,* K Car
27639,,* ups Aur
29276,,* del Pic
107188,,* kap Cap
40096,,HD  68601
11313,,*  65 And
33202,,* e Gem
103045,,* mu. Aqr
53907,,* p02 Leo
78914,,* del Nor
79119,,* tau CrB
39903,,* B Car
11783,,* sig Cet
96052,,*   8 Cyg
103632,,* f01 Cyg
15520,,HD  20336
93542,,* zet CrA
12413,,* s Eri
116602,,HD 222095
64924,,*  61 Vir
69191,,HD 123569
77661,,* rho Ser
16341,,* v Eri
108874,,* omi Aqr
88116,,*   4 Sgr
44390,,* rho UMa
6193,,* ups Psc
57581,,* mu. Mus
67786,,* h Cen
35020,,HD  56456
76880,,* kap Lib
115088,,* omi Cep
101612,,* phi01 Pav
94703,,*   1 Vul
13244,,* nu. Hyi
13288,Angetenar,* tau02 Eri
60485,,*   5 CVn
47522,,* I Hya
29997,,HD  42818
55266,,*  55 UMa
27750,,*  56 Ori
38901,,* chi Pup
84969,,* zet Aps
2472,,* lam01 Phe
70264,,HD 125628
67665,,V* AW CVn
63355,,*  36 Com
65639,,*  69 Vir
114155,,*  56 Peg
100044,,* P Cyg
62985,,* psi Vir
98761,,HD 189831
112519,,HD 216446
86201,,* ome Dra
56127,,* e Leo
90905,,* d Dra
45751,,*  26 Hya
101027,,* rho Cap
14382,,* k Per
3455,,* phi01 Cet
32533,,*  17 Mon
9977,,*  58 And
110371,,*  32 Peg
122,,* tet Oct
110882,,*  35 Peg
64852,,* sig Vir
23231,,*  64 Eri
85755,,* c Oph
47758,,* tet Ant
92024,,HD 172555
4147,,*  20 Cet
60351,,*  12 Com
39847,,*  27 Lyn
70306,,* k Hya
17587,,HD  23089
80815,,* i Sco
1168,,* chi Peg
88149,,*  66 Oph
64661,,* eta Mus
9153,,* lam Ari
77655,,* kap CrB
87220,,HD 161840
109400,,*  24 Cep
99824,,HD 192685
41039,,* B Vel
22678,,*   2 Aur
109908,,* mu.01 Gru
69112,,*   4 UMi
23364,,* psi Eri
84573,,* u Her
